record_type,alloy,composition_atpct,parent_phase,martensite_phase,year,key_result,lambda2,thermal_hysteresis_C,stress_hysteresis_MPa,deltaTad_K,COP,cycles,recoverable_strain_pct,temperature_window_K,grain_size_nm,precipitate_or_microstructure,doi,title,evidence_note
experimental,Ti-Ni-Au,Ti50Ni37Au13,B2,martensite,2009,Composition tuning reached λ2=1; hysteresis decreased by about a factor of 10 at this composition.,1.0,,,,,,,,,,10.1016/j.actamat.2009.05.034,Energy barriers and hysteresis in martensitic phase transformations,Primary article abstract reports the λ2=1 alloy-development program and factor-of-10 hysteresis reduction.
experimental,Zn-Au-Cu,Zn45Au30Cu25,austenite,martensite,2013,"Near-cofactor material: ~8% transformation strain, ~2 °C hysteresis, <0.5 °C transformation-temperature shift after >16,000 thermal cycles.",,2,,,,16000,8,,,,10.1038/nature12532,Enhanced reversibility and unusual microstructure of a phase-transforming material,"Primary Nature abstract. Cycle count is reported as more than 16,000."
experimental,Ti-Ni-Cu,Ti54Ni34Cu12,B2,B19,2015,"Ultralow-fatigue film sustaining at least 10^7 transformation cycles; Ti2Cu precipitates support complete, reproducible transformation.",,,,,,10000000,,,<500,Ti2Cu precipitates; nanoscale grains,10.1126/science.1261164,Ultralow-fatigue shape memory alloy films,Primary Science/PubMed abstract; composition and representative diffraction parameters are available in the article.
experimental,Ti-Ni-Cu-Fe,Ti50Ni42Cu6Fe2,B2,martensite,2022,"Nanocrystalline alloy: superelasticity from 213–323 K, ~180 MPa average stress hysteresis, calculated elastocaloric temperature change ~28 K; enhanced lattice compatibility by synchrotron XRD.",0.976,,180,28,,,,110,,nanocrystalline; wire-drawn and annealed,10.1016/j.jallcom.2022.167195,Small stress-hysteresis in a nanocrystalline TiNiCuFe alloy for elastocaloric applications over wide temperature window,Primary article. λ2=0.976 is reported in the 2026 compatibility analysis referencing this alloy.
experimental,Ni-Ti-Cu-Co,(Ni42.5Ti50Cu7.5)99Co1,B2,martensite,2020,"Bulk elastocaloric alloy: ΔTad down to −14.4 K on unloading, stress hysteresis ~60 MPa at 2.7% maximum strain, material COP up to 19.",,,60,-14.4,19,,2.7,,,,10.1016/j.apmt.2020.100844,Large room-temperature elastocaloric effect in a bulk polycrystalline Ni-Ti-Cu-Co alloy with low isothermal stress hysteresis,Primary article abstract/highlights.
experimental,Ni-Ti,Ni50.8Ti49.2,B2,R → B19′,2024,"Continuous two-step B2→R→B19′ transition with cyclic-stable superelasticity, 5.9% recoverable strain and ΔTad=19.1 K.",,,,19.1,,,5.9,,,,10.1016/j.scriptamat.2024.116239,Low-fatigue large elastocaloric effect in NiTi shape memory alloy enabled by two-step transition,Primary article abstract.
method,NiTi-based HESMA,dataset-driven,B2,B19′,2024,ML comparison for predicting B2 and B19′ lattice parameters; linear regression performed best for most lengths while random forest performed best for β in the reported datasets.,,,,,,,,,,,10.3390/ma17194754,Predictions of Lattice Parameters in NiTi High-Entropy Shape-Memory Alloys Using Different Machine Learning Models,Open-access primary article; motivates the app’s user-trainable composition→lattice workbench.
method,Ni-Ti-Cu-Hf,quaternary design space,austenite,martensite,2025,Batch Bayesian optimization used composition and thermal-processing variables to minimize thermal hysteresis in a target transformation-temperature range.,,,,,,,,,,,10.1016/j.actamat.2024.120651,Design of high-temperature NiTiCuHf shape memory alloys with minimum thermal hysteresis using Bayesian optimization,Primary article abstract.
method,NiTi-based HESMA,(NiCuCo)(TiZrHf) search space,austenite,martensite,2025,Extra-trees models trained on 518 alloys predicted Ms and thermal hysteresis; reported MAE ~31 °C for Ms and ~11 °C for hysteresis.,,,,,,,,,,,10.1016/j.matlet.2025.140002,Data driven prediction of thermal hysteresis in NiTi-based high entropy shape memory alloys,Open-access primary article.
mechanism,Ni-Ti,superelastic NiTi,B2,martensite,2025,Functional fatigue linked to accumulated dislocations and retained martensite; retained martensite becomes increasingly important at higher stress.,,,,,,,,,,dislocations + retained martensite,10.1016/j.ijplas.2025.104483,Functional fatigue and restoration in superelastic NiTi shape-memory alloys,Primary article abstract/highlights.
mechanism,Ni-Ti-Cu,polycrystalline NiTiCu,austenite,martensite,2026,Simulations show grain-size distribution matters: bimodal/gradient arrangements can reduce hysteresis and improve recoverable strain relative to uniform nanograins.,,,,,,,,,,bimodal/gradient grain-size distributions,10.1016/j.mtnano.2026.100893,Role of grain size distribution in regulating the phase transformation behavior of polycrystalline NiTiCu shape memory alloys,"Primary article abstract/highlights; simulation study, not a universal empirical law."
experimental,Ni-Ti-Cu-Co,NiTiCuCo,austenite,martensite,2026,Grain-size engineering produced ΔTad=21.2±0.3 K with no reported degradation over 10^7 phase-transformation cycles at an average grain size of 70 nm.,,,,21.2,,10000000,,,70,grain-size engineered,10.1016/j.actamat.2026.122332,Achieving large room-temperature elastocaloric effect and ultrahigh cyclic stability by grain size engineering,Primary article abstract.
device,Ti-Ni-Cu-Co,fatigue-resistant TiNiCuCo,austenite,martensite,2026,Elastocaloric device maintained 400 W cooling over one million cycles; material temperature change 14.8 K and device temperature span 41 K.,,,,14.8,,1000000,,,,,10.1016/j.joule.2026.102627,A zero-degradation elastocaloric cooling device using fatigue-resistant refrigerant,Primary Joule report; device-level result.
theory,generic cubic→monoclinic-II / cubic→orthorhombic,theoretical,cubic,martensite,2026,Extreme compatibility extends transition-layer-free compatibility to conventional compound-domain laminates; exact conditions are transformation-class specific.,,,,,,,,,,,10.1016/j.jmps.2025.106409,Revisiting the cofactor conditions: Elimination of transition layers in compound domains,Primary theory article. The built-in B2→B19′ correspondence is not automatically assumed to satisfy the monoclinic-II applicability conditions.
theory,B2→B19′ NiTi,metric/correspondence formulation,B2,B19′,2026,"Introduces CMC degeneracy, SMC shear extraction and a shear/shear intercompatibility test; gives target B19′ lattice geometries and quantitative incompatibility ε.",,,,,,,,,,,10.1016/j.actamat.2026.122399,"Compatibilities and supercompatibility conditions in shape memory alloys determined from correspondence, metrics and symmetries",Primary source for the built-in metric/correspondence engine.
